0,1,source_pdf,page,table_num,2,3,4,5,6,7,8
POSITION,SPOT,rmb-tracker_november-2025.pdf,8,0,,,,,,,
1,USD,rmb-tracker_november-2025.pdf,8,0,,,,,,,
2,EUR,rmb-tracker_november-2025.pdf,8,0,,,,,,,
3,GBP,rmb-tracker_november-2025.pdf,8,0,,,,,,,
4,JPY,rmb-tracker_november-2025.pdf,8,0,,,,,,,
5,CAD,rmb-tracker_november-2025.pdf,8,0,,,,,,,
6,CNY,rmb-tracker_november-2025.pdf,8,0,,,,,,,
7,CHF,rmb-tracker_november-2025.pdf,8,0,,,,,,,
8,AUD,rmb-tracker_november-2025.pdf,8,0,,,,,,,
9,HKD,rmb-tracker_november-2025.pdf,8,0,,,,,,,
10,KRW,rmb-tracker_november-2025.pdf,8,0,,,,,,,
POSITION,SPOT,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
1,USD,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
2,EUR,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
3,GBP,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
4,JPY,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
5,CAD,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
6,CNY,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
7,CHF,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
8,AUD,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
9,KRW,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
10,HKD,rmb-tracker_october-2025-v2.pdf,8,0,,,,,,,
"83
96
11
25
13
2,074",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"90
23
23
15
17
1,564",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"108
65
16
19
10
1,234",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"102
9
37
2
0
601",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"17
40
3
13
2
571",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"67
2
16
0
0
468",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"43
31
32
4
14
443",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"40
2
2
1
3
418",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"23
8
15
0
3
377",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"33
5
0
1
0
377",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"6
9
4
1
3
337",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"10
3
12
0
1
330",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
"42
20
9
3
3
328",,Generative AI - PLR EN_WEB2.pdf,49,1,,,,,,,
